year_month,pm25,pm10,o3,no2,so2,co
2020-03-01,98.55555555555556,39.37037037037037,43.14814814814815,15.148148148148149,1.5185185185185186,4.7407407407407405
2020-04-01,103.5,48.1,57.51724137931034,19.3,2.9,5.133333333333334
2020-05-01,107.71666666666667,47.56666666666666,52.191954022988504,17.883333333333333,2.45,5.833333333333334
2020-06-01,111.93333333333334,47.03333333333333,46.86666666666667,16.466666666666665,2.0,6.533333333333333
2020-07-01,87.5,31.785714285714285,48.03225806451613,14.071428571428571,1.1428571428571428,6.25
2020-08-01,84.90322580645162,33.483870967741936,47.0,13.67741935483871,1.2258064516129032,5.516129032258065
2020-09-01,72.29032258064517,31.451612903225808,53.53333333333333,9.193548387096774,1.4838709677419355,4.870967741935484
2020-10-01,82.03333333333333,35.4,40.38709677419355,18.1,1.9333333333333331,7.166666666666667
2020-11-01,67.61290322580645,34.225806451612904,32.43333333333333,16.096774193548388,2.2580645161290325,4.806451612903226
2020-12-01,80.26666666666667,37.73333333333333,23.366666666666667,18.23333333333333,2.1333333333333333,5.8
2021-01-01,108.6,49.23333333333333,24.32258064516129,26.5,2.3666666666666667,7.933333333333334
2021-02-01,109.5483870967742,53.80645161290322,33.607142857142854,24.35483870967742,2.677419354838709,8.096774193548388
2021-03-01,90.46428571428572,37.42857142857143,35.56666666666667,15.535714285714286,2.892857142857143,5.5
2021-04-01,105.4,56.16666666666666,43.63333333333333,20.53333333333333,2.066666666666667,6.433333333333334
2021-05-01,91.13333333333334,45.0,61.14814814814815,18.0,1.3,5.633333333333334
2021-06-01,91.14814814814817,47.629629629629626,49.71428571428572,16.51851851851852,1.3333333333333333,6.481481481481482
2021-07-01,80.80952380952381,31.047619047619047,47.689655172413794,13.857142857142858,1.1904761904761905,4.571428571428571
2021-08-01,63.72413793103448,28.13793103448276,49.096774193548384,8.862068965517242,1.137931034482759,4.517241379310345
2021-09-01,66.74193548387096,27.677419354838708,52.6,9.870967741935484,1.1935483870967742,5.096774193548387
2021-10-01,68.2,29.7,37.774193548387096,10.333333333333334,1.5,5.266666666666667
2021-11-01,59.12903225806452,29.64516129032258,31.53333333333333,12.838709677419354,1.1935483870967742,4.709677419354839
2021-12-01,94.93333333333334,47.266666666666666,24.83870967741936,20.7,2.3,7.4
2022-01-01,116.2258064516129,50.87096774193548,27.9,28.548387096774192,2.7096774193548385,8.064516129032258
2022-02-01,111.80645161290325,45.32258064516129,36.75,18.516129032258064,2.290322580645161,9.193548387096774
2022-03-01,90.92857142857144,37.92857142857143,42.74193548387097,13.321428571428571,2.2857142857142856,5.428571428571429
2022-04-01,92.70967741935485,46.80645161290322,59.13333333333333,13.838709677419354,2.3548387096774195,5.225806451612903
2022-05-01,79.86666666666666,34.8,57.483870967741936,7.666666666666667,2.7666666666666666,4.9
2022-06-01,76.58064516129032,27.806451612903224,57.95652173913044,8.483870967741936,2.6129032258064515,5.645161290322581
2022-07-01,73.8695652173913,30.47826086956522,70.66666666666667,7.913043478260869,1.608695652173913,3.1739130434782608
2022-08-01,89.0,35.5,61.58064516129032,9.666666666666666,1.0,5.666666666666667
2022-09-01,70.16129032258064,31.29032258064516,44.333333333333336,9.193548387096774,1.064516129032258,5.129032258064516
2022-10-01,63.56666666666667,29.966666666666665,38.70967741935484,9.466666666666669,1.7,4.4
2022-11-01,61.54838709677419,30.032258064516128,28.933333333333334,10.419354838709678,2.419354838709677,4.548387096774194
2022-12-01,84.96666666666667,36.86666666666667,24.12903225806452,16.933333333333334,2.933333333333333,5.733333333333333
2023-01-01,98.6774193548387,49.516129032258064,27.916666666666668,23.032258064516128,3.967741935483871,7.032258064516129
2023-02-01,101.03225806451611,48.354838709677416,33.05263157894737,18.096774193548388,3.6774193548387095,6.774193548387097
2023-03-01,82.96428571428571,39.17857142857143,41.67741935483871,16.107142857142858,2.9285714285714284,6.178571428571429
2023-04-01,94.4516129032258,55.12903225806452,50.23333333333333,18.580645161290324,3.645161290322581,5.645161290322581
2023-05-01,98.13333333333334,66.26666666666667,58.483870967741936,14.033333333333331,2.7666666666666666,6.166666666666667
2023-06-01,89.03225806451613,40.903225806451616,61.63333333333333,12.612903225806452,2.7419354838709675,4.645161290322581
2023-07-01,86.33333333333333,31.7,45.64516129032258,11.633333333333333,2.2666666666666666,5.0
2023-08-01,70.03225806451613,28.258064516129032,48.193548387096776,8.096774193548388,2.064516129032258,3.5161290322580645
2023-09-01,68.09677419354838,27.516129032258064,45.73333333333333,7.161290322580645,2.3548387096774195,4.419354838709677
2023-10-01,71.33333333333333,28.4,52.29032258064516,11.333333333333334,1.9,5.6
2023-11-01,79.74193548387096,36.29032258064516,34.06666666666667,15.258064516129032,2.4516129032258065,5.32258064516129
2023-12-01,97.6,51.333333333333336,23.096774193548388,20.53333333333333,3.433333333333333,6.433333333333334
2024-01-01,127.03225806451611,59.483870967741936,25.64516129032258,25.161290322580644,3.6774193548387095,8.096774193548388
2024-02-01,128.70967741935485,58.516129032258064,32.25,25.483870967741936,3.870967741935484,8.548387096774194
2024-03-01,102.5,43.035714285714285,40.41935483870968,11.678571428571429,3.107142857142857,6.714285714285714
2024-04-01,104.4516129032258,53.38709677419355,41.766666666666666,19.741935483870968,3.7096774193548394,6.645161290322581
2024-05-01,86.26666666666667,37.766666666666666,44.66666666666666,13.833333333333334,3.5,5.466666666666667
